Date, Open, High, Low, Close, Volume
10/21/20, 31.30, 32.75, 31.30, 32.50, 23352199
10/20/20, 30.20, 31.35, 30.15, 31.35, 14048700
10/19/20, 29.45, 30.10, 29.40, 29.85, 7398400
10/16/20, 29.40, 29.45, 29.25, 29.30, 4961100
10/15/20, 29.75, 29.75, 29.30, 29.40, 9468700
10/14/20, 29.35, 29.80, 29.00, 29.80, 7857700
10/13/20, 29.40, 29.75, 29.35, 29.50, 8858200
10/12/20, 29.75, 29.75, 29.05, 29.35, 9452200
10/09/20, 29.95, 29.95, 29.50, 29.75, 4994300
10/08/20, 29.90, 30.05, 29.10, 30.05, 13218200
10/07/20, 29.80, 29.90, 29.30, 29.70, 8980600
10/06/20, 30.15, 30.15, 29.60, 30.00, 4682700
10/05/20, 30.70, 30.70, 30.10, 30.15, 5764200
10/02/20, 29.85, 30.70, 29.80, 30.70, 5847500
10/01/20, 29.80, 30.00, 29.60, 30.00, 2650000
09/30/20, 29.65, 29.90, 29.55, 29.70, 5789000
09/29/20, 29.85, 30.10, 29.45, 29.45, 4021600
09/28/20, 30.25, 30.40, 29.75, 29.80, 6079900
09/25/20, 29.50, 30.65, 29.50, 30.25, 14439600
09/24/20, 29.65, 29.95, 29.50, 29.95, 6078700
09/23/20, 29.85, 30.45, 29.75, 29.80, 5222500
09/22/20, 30.00, 30.15, 29.75, 30.00, 6124600
09/21/20, 30.80, 30.90, 30.30, 30.50, 4836900
09/18/20, 31.30, 31.35, 30.30, 31.00, 13833700
09/17/20, 31.45, 31.45, 30.75, 31.40, 8288900
09/16/20, 31.55, 31.70, 31.25, 31.45, 9497600
09/15/20, 31.25, 31.95, 30.85, 31.95, 9732400
09/14/20, 30.05, 31.30, 30.05, 31.30, 10443900
09/11/20, 29.90, 30.40, 29.70, 30.40, 6574200
09/10/20, 29.95, 30.30, 29.30, 30.00, 9511500
09/09/20, 30.45, 30.45, 29.65, 29.75, 11458000
09/08/20, 29.90, 30.90, 29.20, 30.90, 13582100
09/07/20, 28.60, 30.00, 28.10, 30.00, 20669400
09/04/20, 27.00, 28.20, 26.95, 28.20, 19286500
09/03/20, 27.05, 27.75, 26.50, 26.90, 22755600
09/02/20, 28.10, 28.25, 27.00, 27.00, 40418801
09/01/20, 29.50, 29.65, 28.30, 28.30, 19823000
08/28/20, 29.65, 29.85, 28.80, 28.80, 28158301
08/27/20, 30.05, 30.10, 29.70, 29.70, 17572500
08/26/20, 30.00, 30.35, 29.70, 30.00, 10759800
08/25/20, 30.60, 30.60, 30.20, 30.40, 9526100
08/24/20, 31.30, 31.30, 30.50, 30.60, 13466000
08/20/20, 31.85, 31.90, 31.15, 31.35, 5512600
08/19/20, 32.95, 32.95, 31.85, 31.85, 6485700
08/18/20, 33.10, 33.15, 32.70, 32.85, 8279900
08/17/20, 33.40, 33.40, 33.00, 33.10, 2393500
08/14/20, 33.20, 33.80, 32.95, 33.30, 32351801
08/13/20, 33.00, 33.40, 32.75, 33.20, 11863300
08/12/20, 32.80, 33.00, 32.70, 32.80, 3353100
08/11/20, 32.95, 33.30, 32.60, 32.60, 12988900
08/10/20, 32.20, 33.20, 32.00, 33.20, 2919000
08/07/20, 32.50, 32.70, 31.90, 32.20, 11937600
08/06/20, 32.80, 32.80, 32.10, 32.80, 8045800
08/05/20, 32.00, 33.20, 32.00, 32.50, 13408100
08/04/20, 31.00, 32.20, 31.00, 32.20, 8605500
08/03/20, 31.85, 32.20, 31.30, 31.30, 10630900
07/30/20, 33.10, 33.30, 32.65, 33.30, 5052400
07/29/20, 32.15, 33.25, 31.50, 33.25, 5891300
07/28/20, 31.90, 33.15, 31.75, 32.10, 5205200
07/27/20, 32.35, 32.40, 31.75, 31.90, 3982200
07/24/20, 33.60, 33.60, 32.10, 32.50, 5226300
07/23/20, 33.05, 33.80, 31.80, 33.80, 6315000
07/22/20, 33.20, 33.90, 33.00, 33.00, 9084700
07/21/20, 32.80, 33.20, 32.30, 33.20, 4617200
07/20/20, 31.80, 33.40, 31.70, 32.95, 7251300
