Date, Open, High, Low, Close, Volume
10/18/21,110.417,112.5,109.583,110.833,2125788.052
10/15/21,107.667,110,107.083,110,4462332.109
10/14/21,108.583,109.917,105.833,106.667,2151276.052
10/13/21,106,109.583,105,108.583,6949728.17
10/12/2021,105.75,107.833,105,106,7349808.179
10/11/2021,101.667,108.25,101.667,106,5746176.14
10/8/2021,97.5,102.75,96.917,100.833,3807984.093
10/7/2021,97.417,98,96.083,96.667,1980492.048
10/6/2021,93.917,96.333,93.833,95.417,1403292.034
10/5/2021,93.833,94.083,93.5,93.75,2088972.051
10/4/2021,93.75,94.25,93.417,94.167,5459208.133
10/1/2021,93,93.917,92.5,93.583,2707044.066
09/30/21,94.417,94.5,92.167,92.167,1326924.032
09/29/21,94.583,94.583,93.333,94.5,2200404.054
09/28/21,94.167,95,94,94.667,5898972.144
09/27/21,94.5,95.833,94,94.167,1311696.032
09/24/21,92.583,96.75,92.5,94.417,2004204.049
09/23/21,92.333,93.75,92.333,92.5,4303848.105
09/22/21,92.5,94.417,92.083,92.083,1044336.025
09/21/21,92.5,93,91.083,92.083,3076980.075
09/20/21,95.333,95.333,93.083,93.333,1930068.047
09/17/21,93.333,95.667,93.333,95.667,3901272.095
09/16/21,93.083,94,92.583,93.25,1004004.024
09/15/21,94.167,95.25,92.083,92.25,749700.0183
09/14/21,94.583,96.167,94.167,94.167,1317468.032
09/13/21,94.917,95.333,94.5,94.5,1052940.026
9/10/2021,95,95.667,94.417,95.667,1339176.033
9/9/2021,95.25,96.417,95,95.667,1403136.034
9/8/2021,95.667,96.25,95.25,95.25,3045048.074
9/7/2021,96.75,97.083,95,95.667,2690292.066
9/6/2021,96.583,97.583,96.583,97.5,1829376.045
9/3/2021,94.583,96.5,94.333,96.5,2219700.054
9/2/2021,94.167,95.583,93.583,95.5,4387188.107
9/1/2021,92.167,94.25,92.167,94.167,682404.0167
08/31/21,93.333,94.5,91.583,91.583,1161972.028
08/27/21,93.25,93.667,92.583,93.333,1512816.037
08/26/21,94.583,94.583,93.25,93.25,1075716.026
08/25/21,93.917,94.583,92.5,94.583,1497240.037
